漏斗层级,姓名,当前创业公司/项目,当前职务,赛道,扩展方向,原大厂,原职位/经历,原大厂角色等级,背景分类,融资轮次,报道日期,媒体/来源类型,原文链接,证据摘要,置信度,备注
A类已入主表,罗勇,盯盯拍,创始人,智能车载影像、行车记录仪,AI硬件/智能终端,华为,前华为海思视频芯片/图像处理负责人相关经历,业务/产品/团队负责人,技术背景,港股IPO递表,2026-07-01,36氪/IPO报道,https://36kr.com/p/3876587945275396,报道称盯盯拍创始人罗勇曾在华为工作多年，其中十年在华为海思，2013年离开华为创业。,高,消费电子/车载智能硬件方向。
A类已入主表,王时远,穗升科技 / Memoket,创始人,AI记忆硬件、AI录音硬件,AI硬件/智能终端,安克,前全球CMO、中国区总裁,高管/核心高管,市场背景,天使轮,2026-07-01,36氪,https://36kr.com/p/3867992509125636,报道称其从服务9年的安克离职创业，方向为AI Memory硬件。,高,36氪另有2025-12融资首发报道。
A类已入主表,洪小平,若创科技 / Strutt,创始人,智能电动轮椅、移动机器人,机器人/具身智能,大疆,激光雷达/光电模块研发负责人、激光雷达业务负责人,业务/产品/团队负责人,技术背景,Pre-A轮,2026-06-27,36氪,https://36kr.com/p/3867836299973634,报道称洪小平曾在大疆负责激光雷达及光电模块研发，后创立若创科技。,高,近两年多篇36氪报道。
A类已入主表,许灵杰 Eak,栗上LISSOME,联合创始人,AI厨房机器人、智能厨电,机器人/具身智能,大疆,曾任职于越疆、大疆，负责全球化硬件品牌与渠道拓展,产品/市场/供应链负责人,市场背景,A轮,2026-06-22,36氪,https://36kr.com/p/3863779663320069,报道称联合创始人许灵杰Eak曾任职越疆、大疆等企业，具备全球化品牌建设经验。,高,2025和2026两篇36氪首发互证。
A类已入主表,吴迪,丰疆智能,创始人、CEO,智能农机、无人农机,机器人/具身智能,大疆,前首席科学家,高管/核心高管,技术背景,港股IPO递表,2026-06-11,36氪/融资报道,https://36kr.com/p/3848438218472327,报道称丰疆智能创始人吴迪曾担任大疆首席科学家，项目拟再闯港交所。,高,旧样本此前只有2020年报道；本次补入近24个月媒体报道。
A类已入主表,谢博文,无限工坊 / Infimaker,创始人、CEO,消费级CNC、桌面制造,出海消费硬件品牌,大疆,扫地机器人感知算法负责人,高管/核心高管,技术背景,天使轮+Pre-A轮,2026-05-15,36氪,https://36kr.com/p/3809919654403587,报道称创始人谢博文曾在大疆负责扫地机器人的感知算法。,高,公司核心成员也多来自大疆。
A类已入主表,李承,UNICUS,联合创始人,AI个性化制造、智能硬件,AI硬件/智能终端,大疆,无人机智能产线研发负责人,业务/产品/团队负责人,技术背景,暂无,2026-04-13,36氪,https://36kr.com/p/3763919765226240,报道称联合创始人李承为前大疆无人机智能产线研发负责人。,高,近两年新融资报道。
A类已入主表,薛立君,Ludens AI,创始人,AI陪伴机器人、消费机器人,机器人/具身智能,大疆,工程师,技术负责人/核心工程师,技术背景,天使轮/天使+轮,2026-04-13,36氪,https://36kr.com/p/3764777930621705,报道称Ludens AI创始人薛立君曾任特斯拉和大疆工程师。,高,近两年新项目报道。
A类已入主表,陈子涵/陈子寒,拓竹科技 / Bambu Lab,联合创始人、首席工程师,桌面级3D打印、消费硬件,出海消费硬件品牌,大疆,云台部门主管,高管/核心高管,技术背景,暂无,2026-03-04,36氪,https://36kr.com/p/3707227401089541,报道称拓竹首席工程师陈子寒曾任大疆云台部门主管；其他报道写作陈子涵。,中,姓名存在子涵/子寒写法差异，需工商或招股书校准。
A类已入主表,高修峰,拓竹科技 / Bambu Lab,联合创始人、CTO,桌面级3D打印、消费硬件,出海消费硬件品牌,大疆,系统工程部负责人,高管/核心高管,技术背景,暂无,2026-03-04,36氪,https://36kr.com/p/3707227401089541,报道称拓竹CTO高修峰曾任大疆系统工程部负责人。,高,与拓竹创始团队口径互证。
