线索等级,项目/公司线索,疑似人物,疑似原大厂,方向,融资轮次,线索状态,交叉验证结论,媒体/来源,报道日期,标题,来源URL,下一步,已入主表匹配
A类已入主表,松鼠动力 / Evotrex,萧昂,安克,出海消费硬件品牌,Pre-A轮/亿元级融资/多轮融资,已入实名主表,萧昂/松鼠动力已入A类主表；该融资稿补充融资轮次和安克产品线总经理兼产品总监经历。,36氪,2026-07-05,松鼠动力官宣完成亿元级融资，高鹄资本担任独家财务顾问-36氪,https://36kr.com/p/3521265467644808,无需重复录入，可作为萧昂/松鼠动力互证来源,是
A类已入主表,硅羽科技 / SPARO,张富,大疆、宇树,机器人/具身智能,种子轮后连续四轮数亿元融资,已入实名主表,同日36氪首发已入A类；该报道补充同一项目融资进展。,36氪,2026-07-02,硅羽科技完成数亿元融资，加速技术平台的持续迭代-36氪,https://36kr.com/p/3877920839302025,无需重复录入，可作为张富/硅羽科技互证来源,是
A类已入主表,作者丨欧雪,,大疆,AI硬件/智能终端,数亿元,已入实名主表,已匹配A类主表：张富 / 硅羽科技 / SPARO,36氪,2026-07-02,36氪首发 | 前大疆科学家创业，半年内连获四轮数亿融资，耀途资本、锦秋基金等押注-36氪,https://36kr.com/p/3877830625046535,无需重复录入，可补更多来源互证,是
A类已入主表,硅羽科技,,大疆,AI硬件/智能终端,数亿元,已入实名主表,已匹配A类主表：张富 / 硅羽科技 / SPARO,36氪,2026-07-02,36氪首发 | 前大疆科学家创业，半年内连获四轮数亿融资，耀途资本、锦秋基金等押注-36氪,https://36kr.com/p/3877830625046535,无需重复录入，可补更多来源互证,是
A类已入主表,云玦科技,彭超,大疆,AI硬件/智能终端,暂无,已入实名主表,彭超/云玦科技已在A类主表；该36氪AI硬件综述是同源记录，不再作为待补证项目保留。,36氪,2026-07-01,0营收，100亿估值：大厂AI高管创业，正在被投资人疯抢-36氪,https://36kr.com/p/3876499565097225,无需重复录入，可补独立项目首发或融资稿,是
B类高可信候选,ZuzuZoos / 查无此园,董晓楠；前大疆清扫机器人机械结构负责人（未披露姓名）,大疆,机器人/具身智能,Pre-A轮，数千万元,已交叉验证B类-缺前大疆实名,36氪同稿显示创始人董晓楠并非大疆背景；大疆背景人员为未披露姓名的硬件负责人，暂不进入A类。,36氪,2026-07-01,硬氪首发 | moody前高管搭档大疆骨干入局陪伴机器人，锦秋领投，融资数千万-36氪,https://36kr.com/p/3877015761039619,继续自动检索硬件负责人姓名；补到实名后再判断是否升A,否
C类项目线索,大厂AI高管创业趋势文章,职或者刚,大疆,AI硬件/智能终端,暂无,已归档-行业背景,该段只描述投资人争抢大疆在职或刚离职员工，未披露可入库的创业项目和实名人物。,投资界/清科,2026-07-01,0营收，100亿估值：大厂AI高管创业，正在被投资人疯抢,https://news.pedaily.cn/202607/565734.shtml,归档为趋势背景来源,否
C类项目线索,大厂AI高管创业趋势文章,王雷,大疆、拓竹、正浩、正浩创新,AI硬件/智能终端,暂无,已归档-行业背景,该段只描述投资人争抢大疆在职或刚离职员工，未披露可入库的创业项目和实名人物。,投资界/清科,2026-07-01,0营收，100亿估值：大厂AI高管创业，正在被投资人疯抢,https://news.pedaily.cn/202607/565734.shtml,归档为趋势背景来源,是
A类已入主表,若创科技 / Strutt,洪小平创,大疆,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：洪小平 / 若创科技 / Strutt,36氪,2026-06-25,元璟资本王琦：做投资最重要的能力，是寻找“巨浪”-36氪,https://36kr.com/p/3867836299973634,无需重复录入，可补更多来源互证,是
A类已入主表,栗上,谢明佐、许灵杰、为主导矿、联合、Eak、完成数千,大疆、华为,机器人/具身智能,数千万元,已入实名主表,已匹配A类主表：许灵杰 Eak / 栗上LISSOME,36氪,2026-06-22,36氪首发｜红杉中国、Brizan Ventures领投，AI厨房机器人品牌「栗上LISSOME」完成数千万元A轮融资-36氪,https://36kr.com/p/3863779663320069,无需重复录入，可补更多来源互证,是
A类已入主表,无限工坊,,DJI,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：谢博文 / 无限工坊 / Infimaker,36氪,2026-05-15,36氪首发 | 前大疆核心成员做消费级CNC，获美团、昆仑资本、奇绩创坛投资近亿元-36氪,https://36kr.com/p/3809919654403587,无需重复录入，可补更多来源互证,是
A类已入主表,无限工坊,出身、创始人兼,DJI,机器人/具身智能,天使轮,已入实名主表,已匹配A类主表：谢博文 / 无限工坊 / Infimaker,36氪,2026-05-15,昆仑资本独家领投并连续追投，无限工坊完成天使轮和Pre-A轮近亿元融资-36氪,https://36kr.com/p/3810336071851526,无需重复录入，可补更多来源互证,是
B类高可信候选,拓竹科技 / Bambu Lab,陶冶更、据了解、创始,大疆、拓竹,出海消费硬件品牌,暂无,已归档-重复报道,拓竹创始团队已在A类主表；该条为行业重复报道。,36氪,2026-05-15,深圳四小龙，一场3D打印的「降维」与「反降维」-36氪,https://36kr.com/p/3809912700149256,归档为拓竹互证来源,否
A类已入主表,拓竹科技 / Bambu Lab,,大疆、拓竹,出海消费硬件品牌,暂无,已归档-重复报道,拓竹已在A类主表；该条为3D打印行业重复报道。,36氪,2026-04-23,“深圳四小龙”，谁是3D打印第一？-36氪,https://36kr.com/p/3778683779798018,归档为拓竹互证来源,是
C类项目线索,大疆公司治理/汪滔报道,汪滔学会、仅表达了、礼崩乐坏,大疆,原核心消费电子,暂无,已归档-非离职创业样本,文章主体是大疆创始人汪滔和公司治理，不是从大厂离职创业者样本。,36氪,2026-04-22,“礼崩乐坏”之后，大疆创始人汪滔学会了认输-36氪,https://36kr.com/p/3776555707894018,归档,否
C类项目线索,大厂人才溢出背景,,大疆,AI硬件/智能终端,暂无,已归档-行业背景,文章为人才流动分析，未抽到可入库的新增实名项目。,36氪,2026-04-20,核心高管批量出走：大疆、理想的“人才溢出”是危机还是机遇？-36氪,https://36kr.com/p/3774637254537986,归档,否
A类已入主表,Ludens,薛立君、LudensAI,大疆,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：薛立君 / Ludens AI,36氪,2026-04-13,早期项目 | 前大疆工程师创业陪伴机器人，李泽湘连投三轮，产品即将登陆众筹-36氪,https://36kr.com/p/3764777930621705,无需重复录入，可补更多来源互证,是
A类已入主表,UNICUS,李承,大疆,AI硬件/智能终端,暂无,已入实名主表,李承/UNICUS已在A类主表，该行是同源重复片段。,36氪,2026-04-13,36氪首发｜港中文博士和前大疆智能制造负责人创业，要做AI时代的“个性化乐高”-36氪,https://36kr.com/p/3763919765226240,无需重复录入,是
A类已入主表,拓竹/正浩等大疆系背景,陶冶、同样,大疆、拓竹、正浩、EcoFlow,出海消费硬件品牌,暂无,已归档-重复报道,涉及陶冶、正浩等已入库样本，作为背景互证保留。,36氪,2026-04-10,傲慢的汪滔，用了八年学会低头-36氪,https://36kr.com/p/3759804536762880,归档,是
A类已入主表,拓竹科技 / Bambu Lab,高修峰、陶冶更、队几乎都、师陈子寒,大疆、大疆创新、拓竹,AI硬件/智能终端,暂无,已归档-重复报道,拓竹创始团队已在A类主表；该条不新增人物。,36氪,2026-04-07,创想三维冲击港股、拓竹陷版权争议，3D打印掀起“代理人战争”？-36氪,https://36kr.com/p/3755303834501892,归档,是
